Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
191      5.69437410e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.96308704e-09    4.21534541e-09
192      5.69876863e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.96490456e-09    4.21622069e-09
193      5.70316316e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.96670988e-09    4.21708959e-09
194      5.70755769e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.96850307e-09    4.21795218e-09
195      5.71195222e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.97028419e-09    4.21880851e-09
196      5.71634676e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.97205332e-09    4.21965864e-09
197      5.72074129e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.97381054e-09    4.22050263e-09
198      5.72513582e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.97555590e-09    4.22134052e-09
199      5.72953035e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.97728949e-09    4.22217238e-09
200      5.73392488e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.97901137e-09    4.22299825e-09
201      5.73831941e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.98072161e-09    4.22381820e-09
202      5.74271394e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.98242028e-09    4.22463226e-09
203      5.74710847e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.98410745e-09    4.22544050e-09
204      5.75150301e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.98578319e-09    4.22624296e-09
205      5.75589754e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.98744757e-09    4.22703969e-09
206      5.76029207e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.98910066e-09    4.22783075e-09
207      5.76468660e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.99074251e-09    4.22861617e-09
208      5.76908113e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.99237321e-09    4.22939601e-09
209      5.77347566e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.99399281e-09    4.23017032e-09
210      5.77787019e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.99560139e-09    4.23093914e-09
211      5.78226472e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.99719901e-09    4.23170251e-09
