TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
5.95804597e-11,5.95804597e-11,-5.10201604e-04,6.12241925e-04
5.96683504e-11,5.96683504e-11,-5.07079410e-04,6.08495292e-04
5.97562410e-11,5.97562410e-11,-5.03979426e-04,6.04775311e-04
5.98441316e-11,5.98441316e-11,-5.00901498e-04,6.01081797e-04
5.99320222e-11,5.99320222e-11,-4.97845475e-04,5.97414570e-04
6.00199129e-11,6.00199129e-11,-4.94811213e-04,5.93773455e-04
6.01078035e-11,6.01078035e-11,-4.91798567e-04,5.90158280e-04
6.01956941e-11,6.01956941e-11,-4.88807398e-04,5.86568878e-04
6.02835847e-11,6.02835847e-11,-4.85837571e-04,5.83005085e-04
6.03714754e-11,6.03714754e-11,-4.82888952e-04,5.79466743e-04
6.04593660e-11,6.04593660e-11,-4.79961412e-04,5.75953694e-04
6.05472566e-11,6.05472566e-11,-4.77054822e-04,5.72465787e-04
6.06351472e-11,6.06351472e-11,-4.74169059e-04,5.69002871e-04
6.07230379e-11,6.07230379e-11,-4.71304006e-04,5.65564807e-04
6.08109285e-11,6.08109285e-11,-4.68459552e-04,5.62151463e-04
6.08988191e-11,6.08988191e-11,-4.65635598e-04,5.58762718e-04
6.09867097e-11,6.09867097e-11,-4.62832042e-04,5.55398451e-04
6.10746004e-11,6.10746004e-11,-4.60048786e-04,5.52058544e-04
6.11624910e-11,6.11624910e-11,-4.57285732e-04,5.48742879e-04
6.12503816e-11,6.12503816e-11,-4.54542784e-04,5.45451341e-04
6.13382722e-11,6.13382722e-11,-4.51819842e-04,5.42183811e-04
6.14261629e-11,6.14261629e-11,-4.49116807e-04,5.38940168e-04
6.15140535e-11,6.15140535e-11,-4.46433577e-04,5.35720292e-04
6.16019441e-11,6.16019441e-11,-4.43770055e-04,5.32524066e-04
6.16898347e-11,6.16898347e-11,-4.41126144e-04,5.29351373e-04
6.17777254e-11,6.17777254e-11,-4.38501749e-04,5.26202098e-04
6.18656160e-11,6.18656160e-11,-4.35896773e-04,5.23076128e-04
6.19535066e-11,6.19535066e-11,-4.33311125e-04,5.19973350e-04
6.20413972e-11,6.20413972e-11,-4.30744710e-04,5.16893652e-04
6.21292879e-11,6.21292879e-11,-4.28197437e-04,5.13836925e-04
6.22171785e-11,6.22171785e-11,-4.25669216e-04,5.10803059e-04
6.23050691e-11,6.23050691e-11,-4.23159956e-04,5.07791947e-04
6.23929597e-11,6.23929597e-11,-4.20669568e-04,5.04803481e-04
6.24808504e-11,6.24808504e-11,-4.18197963e-04,5.01837556e-04
6.25687410e-11,6.25687410e-11,-4.15745054e-04,4.98894064e-04
6.26566316e-11,6.26566316e-11,-4.13310753e-04,4.95972903e-04
6.27445222e-11,6.27445222e-11,-4.10894973e-04,4.93073968e-04
6.28324129e-11,6.28324129e-11,-4.08497630e-04,4.90197156e-04
6.29203035e-11,6.29203035e-11,-4.06118636e-04,4.87342363e-04
6.30081941e-11,6.30081941e-11,-4.03757907e-04,4.84509489e-04
6.30960847e-11,6.30960847e-11,-4.01415359e-04,4.81698431e-04
6.31839754e-11,6.31839754e-11,-3.99090908e-04,4.78909089e-04
6.32718660e-11,6.32718660e-11,-3.96784469e-04,4.76141363e-04
6.33597566e-11,6.33597566e-11,-3.94495960e-04,4.73395152e-04
6.34476472e-11,6.34476472e-11,-3.92225297e-04,4.70670356e-04
6.35355379e-11,6.35355379e-11,-3.89972398e-04,4.67966878e-04
6.36234285e-11,6.36234285e-11,-3.87737181e-04,4.65284617e-04
6.37113191e-11,6.37113191e-11,-3.85519564e-04,4.62623477e-04
6.37992097e-11,6.37992097e-11,-3.83319465e-04,4.59983357e-04
6.38871004e-11,6.38871004e-11,-3.81136802e-04,4.57364162e-04
6.39749910e-11,6.39749910e-11,-3.78971494e-04,4.54765793e-04
6.40628816e-11,6.40628816e-11,-3.76823461e-04,4.52188153e-04
6.41507722e-11,6.41507722e-11,-3.74692621e-04,4.49631145e-04
6.42386629e-11,6.42386629e-11,-3.72578894e-04,4.47094673e-04
6.43265535e-11,6.43265535e-11,-3.70482200e-04,4.44578640e-04
6.44144441e-11,6.44144441e-11,-3.68402457e-04,4.42082949e-04
6.45023347e-11,6.45023347e-11,-3.66339587e-04,4.39607504e-04
6.45902254e-11,6.45902254e-11,-3.64293508e-04,4.37152210e-04
6.46781160e-11,6.46781160e-11,-3.62264141e-04,4.34716970e-04
6.47660066e-11,6.47660066e-11,-3.60251407e-04,4.32301689e-04
6.48538972e-11,6.48538972e-11,-3.58255226e-04,4.29906271e-04
6.49417879e-11,6.49417879e-11,-3.56275517e-04,4.27530620e-04
6.50296785e-11,6.50296785e-11,-3.54312202e-04,4.25174642e-04
6.51175691e-11,6.51175691e-11,-3.52365201e-04,4.22838241e-04
6.52054597e-11,6.52054597e-11,-3.50434434e-04,4.20521321e-04
6.52933504e-11,6.52933504e-11,-3.48519824e-04,4.18223788e-04
6.53812410e-11,6.53812410e-11,-3.46621289e-04,4.15945546e-04
6.54691316e-11,6.54691316e-11,-3.44738751e-04,4.13686502e-04
6.55570222e-11,6.55570222e-11,-3.42872131e-04,4.11446558e-04
6.56449129e-11,6.56449129e-11,-3.41021351e-04,4.09225621e-04
6.57328035e-11,6.57328035e-11,-3.39186329e-04,4.07023595e-04
6.58206941e-11,6.58206941e-11,-3.37366989e-04,4.04840387e-04
6.59085847e-11,6.59085847e-11,-3.35563250e-04,4.02675900e-04
6.59964754e-11,6.59964754e-11,-3.33775035e-04,4.00530041e-04
6.60843660e-11,6.60843660e-11,-3.32002262e-04,3.98402715e-04
6.61722566e-11,6.61722566e-11,-3.30244855e-04,3.96293826e-04
6.62601472e-11,6.62601472e-11,-3.28502733e-04,3.94203280e-04
6.63480379e-11,6.63480379e-11,-3.26775819e-04,3.92130983e-04
6.64359285e-11,6.64359285e-11,-3.25064033e-04,3.90076839e-04
6.65238191e-11,6.65238191e-11,-3.23367296e-04,3.88040755e-04
6.66117097e-11,6.66117097e-11,-3.21685529e-04,3.86022635e-04
6.66996004e-11,6.66996004e-11,-3.20018654e-04,3.84022385e-04
6.67874910e-11,6.67874910e-11,-3.18366591e-04,3.82039909e-04
6.68753816e-11,6.68753816e-11,-3.16729262e-04,3.80075115e-04
6.69632722e-11,6.69632722e-11,-3.15106588e-04,3.78127906e-04
6.70511629e-11,6.70511629e-11,-3.13498490e-04,3.76198188e-04
6.71390535e-11,6.71390535e-11,-3.11904889e-04,3.74285867e-04
6.72269441e-11,6.72269441e-11,-3.10325707e-04,3.72390848e-04
6.73148347e-11,6.73148347e-11,-3.08760864e-04,3.70513036e-04
6.74027254e-11,6.74027254e-11,-3.07210281e-04,3.68652338e-04
6.74906160e-11,6.74906160e-11,-3.05673881e-04,3.66808657e-04
6.75785066e-11,6.75785066e-11,-3.04151583e-04,3.64981900e-04
6.76663972e-11,6.76663972e-11,-3.02643310e-04,3.63171972e-04
6.77542879e-11,6.77542879e-11,-3.01148982e-04,3.61378779e-04
6.78421785e-11,6.78421785e-11,-2.99668521e-04,3.59602225e-04
6.79300691e-11,6.79300691e-11,-2.98201848e-04,3.57842217e-04
6.80179597e-11,6.80179597e-11,-2.96748884e-04,3.56098660e-04
6.81058504e-11,6.81058504e-11,-2.95309550e-04,3.54371460e-04
6.81937410e-11,6.81937410e-11,-2.93883768e-04,3.52660522e-04
6.82816316e-11,6.82816316e-11,-2.92471459e-04,3.50965751e-04
6.83695222e-11,6.83695222e-11,-2.91072544e-04,3.49287053e-04
6.84574129e-11,6.84574129e-11,-2.89686946e-04,3.47624335e-04
6.85453035e-11,6.85453035e-11,-2.88314584e-04,3.45977500e-04
6.86331941e-11,6.86331941e-11,-2.86955380e-04,3.44346456e-04
6.87210847e-11,6.87210847e-11,-2.85609257e-04,3.42731108e-04
6.88089754e-11,6.88089754e-11,-2.84276135e-04,3.41131362e-04
6.88968660e-11,6.88968660e-11,-2.82955935e-04,3.39547123e-04
6.89847566e-11,6.89847566e-11,-2.81648581e-04,3.37978297e-04
6.90726472e-11,6.90726472e-11,-2.80353992e-04,3.36424791e-04
6.91605379e-11,6.91605379e-11,-2.79072092e-04,3.34886510e-04
6.92484285e-11,6.92484285e-11,-2.77802800e-04,3.33363360e-04
6.93363191e-11,6.93363191e-11,-2.76546040e-04,3.31855248e-04
6.94242097e-11,6.94242097e-11,-2.75301733e-04,3.30362080e-04
6.95121004e-11,6.95121004e-11,-2.74069801e-04,3.28883761e-04
6.95999910e-11,6.95999910e-11,-2.72850165e-04,3.27420199e-04
6.96878816e-11,6.96878816e-11,-2.71642749e-04,3.25971299e-04
6.97757722e-11,6.97757722e-11,-2.70447473e-04,3.24536968e-04
6.98636629e-11,6.98636629e-11,-2.69264261e-04,3.23117113e-04
6.99515535e-11,6.99515535e-11,-2.68093033e-04,3.21711640e-04
7.00394441e-11,7.00394441e-11,-2.66933714e-04,3.20320457e-04
7.01273347e-11,7.01273347e-11,-2.65786224e-04,3.18943469e-04
7.02152254e-11,7.02152254e-11,-2.64650487e-04,3.17580584e-04
7.03031160e-11,7.03031160e-11,-2.63526424e-04,3.16231709e-04
7.03910066e-11,7.03910066e-11,-2.62413960e-04,3.14896752e-04
7.04788972e-11,7.04788972e-11,-2.61313015e-04,3.13575618e-04
7.05667879e-11,7.05667879e-11,-2.60223514e-04,3.12268217e-04
7.06546785e-11,7.06546785e-11,-2.59145380e-04,3.10974455e-04
7.07425691e-11,7.07425691e-11,-2.58078534e-04,3.09694241e-04
7.08304597e-11,7.08304597e-11,-2.57022901e-04,3.08427482e-04
7.09183504e-11,7.09183504e-11,-2.55978404e-04,3.07174085e-04
7.10062410e-11,7.10062410e-11,-2.54944966e-04,3.05933960e-04
7.10941316e-11,7.10941316e-11,-2.53922512e-04,3.04707014e-04
7.11820222e-11,7.11820222e-11,-2.52910963e-04,3.03493156e-04
7.12699129e-11,7.12699129e-11,-2.51910245e-04,3.02292294e-04
7.13578035e-11,7.13578035e-11,-2.50920281e-04,3.01104337e-04
7.14456941e-11,7.14456941e-11,-2.49940996e-04,2.99929195e-04
7.15335847e-11,7.15335847e-11,-2.48972313e-04,2.98766776e-04
7.16214754e-11,7.16214754e-11,-2.48014157e-04,2.97616989e-04
7.17093660e-11,7.17093660e-11,-2.47066453e-04,2.96479744e-04
7.17972566e-11,7.17972566e-11,-2.46129126e-04,2.95354951e-04
7.18851472e-11,7.18851472e-11,-2.45202099e-04,2.94242519e-04
7.19730379e-11,7.19730379e-11,-2.44285299e-04,2.93142358e-04
7.20609285e-11,7.20609285e-11,-2.43378649e-04,2.92054379e-04
