Index       TIME              V(A)              V(B)             V(CIN)             V(D)              V(S)              V(C)             V(_04_)           V(_05_)           V(_01_)           V(_02_)           V(_03_)           V(_00_)     
78       5.95160359e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.14192431e-01    8.90732486e-01    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19879112e+00    4.94917201e-02    1.19999999e+00    1.25313809e-06
79       5.95687025e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.14824430e-01    1.00790833e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19918537e+00    4.02065730e-02    1.19999999e+00    1.25096304e-06
80       5.96161024e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.15393228e-01    1.08080937e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19942983e+00    3.39054888e-02    1.19999999e+00    1.24901035e-06
81       5.96635023e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.15962027e-01    1.12780333e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19960171e+00    2.90099943e-02    1.19999999e+00    1.24706224e-06
82       5.97109022e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.16530826e-01    1.15649581e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19972224e+00    2.51545477e-02    1.19999999e+00    1.24511871e-06
83       5.97583021e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.17099625e-01    1.17348486e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19980658e+00    2.20739097e-02    1.19999999e+00    1.24317973e-06
84       5.98531018e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.18237222e-01    1.18991698e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19990886e+00    1.74775647e-02    1.19999999e+00    1.23931539e-06
85       5.99479016e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.19374820e-01    1.19514519e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19995725e+00    1.43131926e-02    1.19999999e+00    1.23546910e-06
86       6.00427014e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.20512417e-01    1.19705296e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19998000e+00    1.20122608e-02    1.19999999e+00    1.23164075e-06
87       6.02323010e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.22787612e-01    1.19848530e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19999684e+00    8.85445581e-03    1.19999999e+00    1.22403741e-06
88       6.04219006e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.25062807e-01    1.19897059e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19999950e+00    6.86022164e-03    1.19999999e+00    1.21650453e-06
89       6.08010998e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.29613197e-01    1.19946816e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000009e+00    4.44315575e-03    1.19999999e+00    1.20164640e-06
90       6.11802989e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.34163587e-01    1.19966347e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19999998e+00    3.14049770e-03    1.19999999e+00    1.18705991e-06
91       6.19386973e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.43264367e-01    1.19984111e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.77044211e-03    1.19999999e+00    1.15867374e-06
92       6.26970956e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.52365147e-01    1.19990191e+00    1.28878297e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    1.15608009e-03    1.19999999e+00    1.13129790e-06
93       6.42138923e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.70566707e-01    1.19995732e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000000e+00    5.79457156e-04    1.19999999e+00    1.07937810e-06
94       6.57306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.88768267e-01    1.19997283e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    3.61131964e-04    1.19999999e+00    1.03096783e-06
95       6.77306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.12768267e-01    1.19998616e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000000e+00    2.11562857e-04    1.19999999e+00    9.71967530e-07
96       6.97306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.36768267e-01    1.19998916e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    1.46766152e-04    1.19999999e+00    9.17915061e-07
97       7.17306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.60768267e-01    1.19999389e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000000e+00    1.01227427e-04    1.19999999e+00    8.68268577e-07
98       7.37306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.84768267e-01    1.19999407e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    7.96725055e-05    1.19999999e+00    8.22565076e-07
99       7.57306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.08768267e-01    1.19999661e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000000e+00    5.93851851e-05    1.19999999e+00    7.80394705e-07
