TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
1.04101658e-11,1.04101658e-11,-3.12346998e-03,3.74816398e-03
1.04296970e-11,1.04296970e-11,-3.11773397e-03,3.74128077e-03
1.04492283e-11,1.04492283e-11,-3.11201164e-03,3.73441397e-03
1.04687595e-11,1.04687595e-11,-3.10630307e-03,3.72756368e-03
1.04882908e-11,1.04882908e-11,-3.10060835e-03,3.72073002e-03
1.05078220e-11,1.05078220e-11,-3.09492757e-03,3.71391309e-03
1.05273533e-11,1.05273533e-11,-3.08926082e-03,3.70711299e-03
1.05468845e-11,1.05468845e-11,-3.08360818e-03,3.70032981e-03
1.05664158e-11,1.05664158e-11,-3.07796973e-03,3.69356367e-03
1.05859470e-11,1.05859470e-11,-3.07234555e-03,3.68681466e-03
1.06054783e-11,1.06054783e-11,-3.06673572e-03,3.68008287e-03
1.06250095e-11,1.06250095e-11,-3.06114033e-03,3.67336839e-03
1.06445408e-11,1.06445408e-11,-3.05555944e-03,3.66667133e-03
1.06640720e-11,1.06640720e-11,-3.04999315e-03,3.65999178e-03
1.06836033e-11,1.06836033e-11,-3.04444151e-03,3.65332981e-03
