Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
111      5.89215988e-08    0.00000000e+00    0.00000000e+00    6.69119911e-01    1.20000000e+00    7.20015758e-01    3.01548630e-02    5.96269828e-01    1.08401913e+00    1.19999999e+00
112      5.89243152e-08    0.00000000e+00    0.00000000e+00    6.69323638e-01    1.20000000e+00    6.25388514e-01    3.36406154e-02    5.92368445e-01    1.11223204e+00    1.19999999e+00
113      5.89270315e-08    0.00000000e+00    0.00000000e+00    6.69527365e-01    1.20000000e+00    5.28270574e-01    3.74861590e-02    5.88424109e-01    1.13414009e+00    1.19999999e+00
114      5.89297479e-08    0.00000000e+00    0.00000000e+00    6.69731092e-01    1.20000000e+00    4.36192513e-01    4.17360245e-02    5.84433923e-01    1.15070548e+00    1.19999999e+00
115      5.89324643e-08    0.00000000e+00    0.00000000e+00    6.69934819e-01    1.20000000e+00    3.55431254e-01    4.64428987e-02    5.80394648e-01    1.16298563e+00    1.19999999e+00
116      5.89351806e-08    0.00000000e+00    0.00000000e+00    6.70138546e-01    1.20000000e+00    2.87561043e-01    5.16696214e-02    5.76302647e-01    1.17196401e+00    1.19999999e+00
117      5.89378970e-08    0.00000000e+00    0.00000000e+00    6.70342273e-01    1.20000000e+00    2.31657588e-01    5.74918058e-02    5.72153830e-01    1.17845994e+00    1.19999999e+00
118      5.89406133e-08    0.00000000e+00    0.00000000e+00    6.70546000e-01    1.20000000e+00    1.85993004e-01    6.40013197e-02    5.67943578e-01    1.18312117e+00    1.19999999e+00
119      5.89433297e-08    0.00000000e+00    0.00000000e+00    6.70749727e-01    1.20000000e+00    1.48852564e-01    7.12978059e-02    5.63666660e-01    1.18645689e+00    1.19999999e+00
120      5.89460461e-08    0.00000000e+00    0.00000000e+00    6.70953454e-01    1.20000000e+00    1.18762321e-01    7.94422448e-02    5.59317130e-01    1.18885361e+00    1.19999999e+00
121      5.89487624e-08    0.00000000e+00    0.00000000e+00    6.71157181e-01    1.20000000e+00    9.44873086e-02    8.84555318e-02    5.54888200e-01    1.19059349e+00    1.19999999e+00
