Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)              V(C)       
175      8.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
176      8.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
177      8.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
178      8.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
179      8.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
180      8.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
181      9.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
182      9.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
183      9.11000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
184      9.16000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
185      9.21000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
186      9.26000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
187      9.31000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
188      9.36000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
189      9.41000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
190      9.46000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
191      9.51000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
192      9.56000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
193      9.61000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
194      9.66000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
195      9.71000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
196      9.76000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
197      9.81000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
198      9.86000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
199      9.91000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
200      9.96000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899716e-09    0.00000000e+00
201      1.00100000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
202      1.00600000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899712e-09    0.00000000e+00
203      1.01100000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899710e-09    0.00000000e+00
204      1.01600000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899711e-09    0.00000000e+00
205      1.02100000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06899723e-09    0.00000000e+00
