TIME,V(_00_),V(_01_),V(_02_),V(_03_),V(_04_)
7.03125954e-12,4.67989948e-09,2.33994974e-09,4.53088812e-03,6.48453567e-01,1.90555942e-01
7.05079079e-12,4.69289919e-09,2.34644959e-09,4.69142442e-03,6.50161315e-01,1.91868922e-01
7.07032204e-12,4.70589889e-09,2.35294945e-09,4.85556554e-03,6.51866572e-01,1.93188046e-01
7.08985329e-12,4.71889859e-09,2.35944930e-09,5.02334347e-03,6.53569307e-01,1.94513251e-01
7.10938454e-12,4.73189830e-09,2.36594915e-09,5.19478982e-03,6.55269492e-01,1.95844475e-01
7.12891579e-12,4.74489800e-09,2.37244900e-09,5.36993589e-03,6.56967098e-01,1.97181658e-01
7.14844704e-12,4.75789770e-09,2.37894885e-09,5.54881264e-03,6.58662096e-01,1.98524737e-01
7.16797829e-12,4.77089741e-09,2.38544870e-09,5.73145068e-03,6.60354457e-01,1.99873651e-01
7.18750954e-12,4.78389711e-09,2.39194856e-09,5.91788030e-03,6.62044152e-01,2.01228340e-01
7.20704079e-12,4.79689681e-09,2.39844841e-09,6.10813141e-03,6.63731153e-01,2.02588744e-01
7.22657204e-12,4.80989652e-09,2.40494826e-09,6.30223362e-03,6.65415432e-01,2.03954801e-01
7.24610329e-12,4.82289622e-09,2.41144811e-09,6.50021616e-03,6.67096960e-01,2.05326452e-01
7.26563454e-12,4.83589592e-09,2.41794796e-09,6.70210792e-03,6.68775710e-01,2.06703638e-01
7.28516579e-12,4.84889563e-09,2.42444781e-09,6.90793746e-03,6.70451653e-01,2.08086300e-01
7.30469704e-12,4.86189533e-09,2.43094766e-09,7.11773296e-03,6.72124762e-01,2.09474378e-01
7.32422829e-12,4.87489503e-09,2.43744752e-09,7.33152228e-03,6.73795009e-01,2.10867814e-01
7.34375954e-12,4.88789474e-09,2.44394737e-09,7.54933291e-03,6.75462366e-01,2.12266550e-01
7.36329079e-12,4.90089444e-09,2.45044722e-09,7.77119199e-03,6.77126808e-01,2.13670528e-01
7.38282204e-12,4.91389414e-09,2.45694707e-09,7.99712631e-03,6.78788305e-01,2.15079690e-01
7.40235329e-12,4.92689384e-09,2.46344692e-09,8.22716230e-03,6.80446833e-01,2.16493980e-01
7.42188454e-12,4.93989355e-09,2.46994677e-09,8.46132603e-03,6.82102363e-01,2.17913341e-01
7.44141579e-12,4.95289325e-09,2.47644663e-09,8.69964324e-03,6.83754870e-01,2.19337716e-01
7.46094704e-12,4.96589295e-09,2.48294648e-09,8.94213929e-03,6.85404327e-01,2.20767049e-01
7.48047829e-12,4.97889266e-09,2.48944633e-09,9.18883918e-03,6.87050707e-01,2.22201286e-01
7.50000954e-12,4.99189236e-09,2.49594618e-09,9.43976756e-03,6.88693986e-01,2.23640370e-01
7.51954079e-12,5.00489206e-09,2.50244603e-09,9.69494873e-03,6.90334136e-01,2.25084247e-01
7.53907204e-12,5.01789177e-09,2.50894588e-09,9.95440662e-03,6.91971134e-01,2.26532863e-01
7.55860329e-12,5.03089147e-09,2.51544573e-09,1.02181648e-02,6.93604952e-01,2.27986163e-01
7.57813454e-12,5.04389117e-09,2.52194559e-09,1.04862465e-02,6.95235567e-01,2.29444094e-01
7.59766579e-12,5.05689088e-09,2.52844544e-09,1.07586745e-02,6.96862952e-01,2.30906603e-01
7.61719704e-12,5.06989058e-09,2.53494529e-09,1.10354714e-02,6.98487084e-01,2.32373638e-01
7.63672829e-12,5.08289028e-09,2.54144514e-09,1.13166593e-02,7.00107937e-01,2.33845145e-01
7.65625954e-12,5.09588999e-09,2.54794499e-09,1.16022599e-02,7.01725488e-01,2.35321073e-01
7.67579079e-12,5.10888969e-09,2.55444484e-09,1.18922947e-02,7.03339711e-01,2.36801371e-01
7.69532204e-12,5.12188939e-09,2.56094470e-09,1.21867847e-02,7.04950584e-01,2.38285987e-01
7.71485329e-12,5.13488909e-09,2.56744455e-09,1.24857506e-02,7.06558083e-01,2.39774870e-01
7.73438454e-12,5.14788880e-09,2.57394440e-09,1.27892127e-02,7.08162183e-01,2.41267972e-01
7.75391579e-12,5.16088850e-09,2.58044425e-09,1.30971911e-02,7.09762862e-01,2.42765240e-01
7.77344704e-12,5.17388820e-09,2.58694410e-09,1.34097052e-02,7.11360096e-01,2.44266628e-01
7.79297829e-12,5.18688791e-09,2.59344395e-09,1.37267744e-02,7.12953864e-01,2.45772084e-01
7.81250954e-12,5.19988761e-09,2.59994381e-09,1.40484176e-02,7.14544141e-01,2.47281562e-01
7.83204079e-12,5.21288731e-09,2.60644366e-09,1.43746533e-02,7.16130906e-01,2.48795012e-01
7.85157204e-12,5.22588702e-09,2.61294351e-09,1.47054996e-02,7.17714136e-01,2.50312388e-01
7.87110329e-12,5.23888672e-09,2.61944336e-09,1.50409743e-02,7.19293810e-01,2.51833641e-01
7.89063454e-12,5.25188642e-09,2.62594321e-09,1.53810950e-02,7.20869906e-01,2.53358726e-01
7.91016579e-12,5.26488613e-09,2.63244306e-09,1.57258787e-02,7.22442402e-01,2.54887596e-01
7.92969704e-12,5.27788583e-09,2.63894291e-09,1.60753422e-02,7.24011277e-01,2.56420204e-01
7.94922829e-12,5.29088553e-09,2.64544277e-09,1.64295018e-02,7.25576511e-01,2.57956506e-01
7.96875954e-12,5.30388523e-09,2.65194262e-09,1.67883736e-02,7.27138081e-01,2.59496456e-01
7.98829079e-12,5.31688494e-09,2.65844247e-09,1.71519733e-02,7.28695968e-01,2.61040010e-01
8.00782204e-12,5.32988464e-09,2.66494232e-09,1.75203161e-02,7.30250152e-01,2.62587123e-01
8.02735329e-12,5.34288434e-09,2.67144217e-09,1.78934171e-02,7.31800612e-01,2.64137752e-01
8.04688454e-12,5.35588405e-09,2.67794202e-09,1.82712908e-02,7.33347329e-01,2.65691853e-01
8.06641579e-12,5.36888375e-09,2.68444188e-09,1.86539516e-02,7.34890283e-01,2.67249384e-01
8.08594704e-12,5.38188345e-09,2.69094173e-09,1.90414132e-02,7.36429454e-01,2.68810302e-01
8.10547829e-12,5.39488316e-09,2.69744158e-09,1.94336894e-02,7.37964823e-01,2.70374564e-01
8.12500954e-12,5.40788286e-09,2.70394143e-09,1.98307934e-02,7.39496373e-01,2.71942130e-01
8.14454079e-12,5.42088256e-09,2.71044128e-09,2.02327379e-02,7.41024083e-01,2.73512958e-01
8.16407204e-12,5.43388227e-09,2.71694113e-09,2.06395355e-02,7.42547936e-01,2.75087007e-01
8.18360329e-12,5.44688197e-09,2.72344098e-09,2.10511985e-02,7.44067914e-01,2.76664237e-01
8.20313454e-12,5.45988167e-09,2.72994084e-09,2.14677385e-02,7.45583999e-01,2.78244607e-01
8.22266579e-12,5.47288138e-09,2.73644069e-09,2.18891672e-02,7.47096172e-01,2.79828079e-01
8.24219704e-12,5.48588108e-09,2.74294054e-09,2.23154958e-02,7.48604417e-01,2.81414613e-01
8.26172829e-12,5.49888078e-09,2.74944039e-09,2.27467349e-02,7.50108717e-01,2.83004170e-01
8.28125954e-12,5.51188048e-09,2.75594024e-09,2.31828951e-02,7.51609055e-01,2.84596712e-01
8.30079079e-12,5.52488019e-09,2.76244009e-09,2.36239865e-02,7.53105414e-01,2.86192202e-01
8.32032204e-12,5.53787989e-09,2.76893995e-09,2.40700189e-02,7.54597778e-01,2.87790600e-01
8.33985329e-12,5.55087959e-09,2.77543980e-09,2.45210019e-02,7.56086130e-01,2.89391872e-01
8.35938454e-12,5.56387930e-09,2.78193965e-09,2.49769445e-02,7.57570455e-01,2.90995979e-01
8.37891579e-12,5.57687900e-09,2.78843950e-09,2.54378555e-02,7.59050738e-01,2.92602886e-01
