Index       TIME              V(A)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
2714     1.31275000e-07    1.20000000e+00    0.00000000e+00    1.53000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2715     1.31325000e-07    1.20000000e+00    0.00000000e+00    1.59000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2716     1.31375000e-07    1.20000000e+00    0.00000000e+00    1.65000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2717     1.31425000e-07    1.20000000e+00    0.00000000e+00    1.71000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2718     1.31475000e-07    1.20000000e+00    0.00000000e+00    1.77000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2719     1.31525000e-07    1.20000000e+00    0.00000000e+00    1.83000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2720     1.31575000e-07    1.20000000e+00    0.00000000e+00    1.89000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2721     1.31625000e-07    1.20000000e+00    0.00000000e+00    1.95000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2722     1.31675000e-07    1.20000000e+00    0.00000000e+00    2.01000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999993e+00
2723     1.31725000e-07    1.20000000e+00    0.00000000e+00    2.07000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2724     1.31775000e-07    1.20000000e+00    0.00000000e+00    2.13000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2725     1.31825000e-07    1.20000000e+00    0.00000000e+00    2.19000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2726     1.31875000e-07    1.20000000e+00    0.00000000e+00    2.25000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2727     1.31925000e-07    1.20000000e+00    0.00000000e+00    2.31000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2728     1.31975000e-07    1.20000000e+00    0.00000000e+00    2.37000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2729     1.32025000e-07    1.20000000e+00    0.00000000e+00    2.43000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2730     1.32075000e-07    1.20000000e+00    0.00000000e+00    2.49000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2731     1.32125000e-07    1.20000000e+00    0.00000000e+00    2.55000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2732     1.32175000e-07    1.20000000e+00    0.00000000e+00    2.61000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2733     1.32225000e-07    1.20000000e+00    0.00000000e+00    2.67000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2734     1.32275000e-07    1.20000000e+00    0.00000000e+00    2.73000000e-01    1.20000000e+00    1.60124630e-09    1.19999998e+00    1.19999994e+00
2735     1.32325000e-07    1.20000000e+00    0.00000000e+00    2.79000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2736     1.32375000e-07    1.20000000e+00    0.00000000e+00    2.85000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
