TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
9.28621249e-09,9.28621249e-09,-2.52796133e-09,-3.03355360e-09,3.03355360e-09
9.33621249e-09,9.33621249e-09,-2.35863026e-09,-2.83035631e-09,2.83035631e-09
9.38621249e-09,9.38621249e-09,-2.39210160e-09,-2.87052192e-09,2.87052192e-09
9.43621249e-09,9.43621249e-09,-2.22837076e-09,-2.67404492e-09,2.67404492e-09
9.48621249e-09,9.48621249e-09,-2.26713870e-09,-2.72056644e-09,2.72056644e-09
9.53621249e-09,9.53621249e-09,-2.10842111e-09,-2.53010533e-09,2.53010533e-09
9.58621249e-09,9.58621249e-09,-2.15193764e-09,-2.58232517e-09,2.58232517e-09
9.63621249e-09,9.63621249e-09,-1.99772124e-09,-2.39726549e-09,2.39726549e-09
9.68621249e-09,9.68621249e-09,-2.04550747e-09,-2.45460896e-09,2.45460896e-09
9.73621249e-09,9.73621249e-09,-1.89534395e-09,-2.27441274e-09,2.27441274e-09
9.78621249e-09,9.78621249e-09,-1.94697984e-09,-2.33637581e-09,2.33637581e-09
9.83621249e-09,9.83621249e-09,-1.80047535e-09,-2.16057042e-09,2.16057042e-09
9.88621249e-09,9.88621249e-09,-1.85559129e-09,-2.22670955e-09,2.22670955e-09
9.93621249e-09,9.93621249e-09,-1.71239869e-09,-2.05487842e-09,2.05487842e-09
9.98621249e-09,9.98621249e-09,-1.77066838e-09,-2.12480205e-09,2.12480205e-09
1.00000000e-08,1.00000000e-08,-1.65947190e-09,-1.99136628e-09,1.99136628e-09
1.00050000e-08,1.00050000e-08,-1.70541108e-09,-2.04649329e-09,2.04649329e-09
1.00150000e-08,1.00150000e-08,-1.69738281e-09,-2.03685937e-09,2.03685937e-09
1.00350000e-08,1.00350000e-08,-1.68144590e-09,-2.01773508e-09,2.01773508e-09
1.00750000e-08,1.00750000e-08,-1.65024924e-09,-1.98029909e-09,1.98029909e-09
1.01250000e-08,1.01250000e-08,-1.61246099e-09,-1.93495318e-09,1.93495318e-09
1.01750000e-08,1.01750000e-08,-1.57596070e-09,-1.89115284e-09,1.89115284e-09
1.02250000e-08,1.02250000e-08,-1.54068938e-09,-1.84882726e-09,1.84882726e-09
1.02750000e-08,1.02750000e-08,-1.50659306e-09,-1.80791167e-09,1.80791167e-09
1.03250000e-08,1.03250000e-08,-1.47361980e-09,-1.76834376e-09,1.76834376e-09
1.03750000e-08,1.03750000e-08,-1.44172098e-09,-1.73006518e-09,1.73006518e-09
1.04250000e-08,1.04250000e-08,-1.41085034e-09,-1.69302041e-09,1.69302041e-09
1.04750000e-08,1.04750000e-08,-1.38096420e-09,-1.65715704e-09,1.65715704e-09
1.05250000e-08,1.05250000e-08,-1.35202112e-09,-1.62242534e-09,1.62242534e-09
1.05750000e-08,1.05750000e-08,-1.32398183e-09,-1.58877820e-09,1.58877820e-09
1.06250000e-08,1.06250000e-08,-1.29680910e-09,-1.55617093e-09,1.55617093e-09
1.06750000e-08,1.06750000e-08,-1.27046758e-09,-1.52456109e-09,1.52456109e-09
1.07250000e-08,1.07250000e-08,-1.24492371e-09,-1.49390845e-09,1.49390845e-09
1.07750000e-08,1.07750000e-08,-1.22014559e-09,-1.46417471e-09,1.46417471e-09
1.08250000e-08,1.08250000e-08,-1.19610294e-09,-1.43532353e-09,1.43532353e-09
1.08750000e-08,1.08750000e-08,-1.17276692e-09,-1.40732030e-09,1.40732030e-09
