TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
5.93293190e-08,5.93293190e-08,-1.40916408e-07,-1.69099690e-07,1.69099690e-07
5.94075136e-08,5.94075136e-08,-1.02269092e-07,-1.22722910e-07,1.22722910e-07
5.95639027e-08,5.95639027e-08,-6.09627222e-08,-7.31552666e-08,7.31552666e-08
5.97202919e-08,5.97202919e-08,-4.02775202e-08,-4.83330242e-08,4.83330242e-08
6.00330701e-08,6.00330701e-08,-2.13197512e-08,-2.55837014e-08,2.55837014e-08
6.06586267e-08,6.06586267e-08,-8.38227735e-09,-1.00587328e-08,1.00587328e-08
6.19097398e-08,6.19097398e-08,-2.83689528e-09,-3.40427434e-09,3.40427434e-09
6.31608528e-08,6.31608528e-08,-1.29036373e-09,-1.54843648e-09,1.54843648e-09
6.56630790e-08,6.56630790e-08,-6.89276423e-10,-8.27131708e-10,8.27131708e-10
6.60000000e-08,6.60000000e-08,-8.60147979e-10,-1.03217758e-09,1.03217758e-09
6.63369210e-08,6.63369210e-08,-8.48962598e-10,-1.01875512e-09,1.01875512e-09
6.70107630e-08,6.70107630e-08,-6.62580291e-10,-7.95096350e-10,7.95096350e-10
6.83584469e-08,6.83584469e-08,-4.11774720e-10,-4.94129664e-10,4.94129664e-10
7.10538149e-08,7.10538149e-08,-2.03485483e-10,-2.44182580e-10,2.44182580e-10
7.64445508e-08,7.64445508e-08,-9.08996809e-11,-1.09079617e-10,1.09079617e-10
8.72260225e-08,8.72260225e-08,-5.00818254e-11,-6.00981904e-11,6.00981904e-11
9.00000000e-08,9.00000000e-08,-4.10680575e-11,-4.92816690e-11,4.92816690e-11
9.03750000e-08,9.03750000e-08,-4.35072336e-11,-5.22086803e-11,5.22086803e-11
9.06502886e-08,9.06502886e-08,-4.32599910e-11,-5.19119892e-11,5.19119892e-11
9.12008658e-08,9.12008658e-08,-4.27261937e-11,-5.12714324e-11,5.12714324e-11
9.23020203e-08,9.23020203e-08,-4.17361066e-11,-5.00833279e-11,5.00833279e-11
9.45043291e-08,9.45043291e-08,-4.00234903e-11,-4.80281884e-11,4.80281884e-11
9.56054836e-08,9.56054836e-08,-3.93019935e-11,-4.71623922e-11,4.71623922e-11
9.61560608e-08,9.61560608e-08,-3.89487416e-11,-4.67384899e-11,4.67384899e-11
9.68974910e-08,9.68974910e-08,-1.92396639e-06,-2.30875967e-06,2.30875967e-06
9.71424657e-08,9.71424657e-08,-3.35721133e-06,-4.02865360e-06,4.02865360e-06
9.73874404e-08,9.73874404e-08,-4.95353350e-06,-5.94424020e-06,5.94424020e-06
9.76324151e-08,9.76324151e-08,-6.46062974e-06,-7.75275569e-06,7.75275569e-06
9.76670656e-08,9.76670656e-08,-6.49954234e-06,-7.79945080e-06,7.79945080e-06
9.77363667e-08,9.77363667e-08,-6.19860127e-06,-7.43832153e-06,7.43832153e-06
9.78056677e-08,9.78056677e-08,-5.39032368e-06,-6.46838841e-06,6.46838841e-06
9.78749687e-08,9.78749687e-08,-4.63396374e-06,-5.56075649e-06,5.56075649e-06
9.79442697e-08,9.79442697e-08,-3.92330742e-06,-4.70796890e-06,4.70796890e-06
9.80135708e-08,9.80135708e-08,-3.28313285e-06,-3.93975942e-06,3.93975942e-06
9.80828718e-08,9.80828718e-08,-2.68866188e-06,-3.22639426e-06,3.22639426e-06
9.81521728e-08,9.81521728e-08,-2.16467268e-06,-2.59760721e-06,2.59760721e-06
9.82214739e-08,9.82214739e-08,-1.68638708e-06,-2.02366449e-06,2.02366449e-06
9.82907749e-08,9.82907749e-08,-1.27858323e-06,-1.53429988e-06,1.53429988e-06
9.83600759e-08,9.83600759e-08,-6.51926866e-06,-7.82312239e-06,7.82312239e-06
9.83823931e-08,9.83823931e-08,-1.26140438e-05,-1.51368525e-05,1.51368525e-05
9.83926935e-08,9.83926935e-08,-1.64307124e-05,-1.97168549e-05,1.97168549e-05
9.84029939e-08,9.84029939e-08,-2.09830228e-05,-2.51796274e-05,2.51796274e-05
9.84235947e-08,9.84235947e-08,-3.37073247e-05,-4.04487897e-05,4.04487897e-05
9.84414434e-08,9.84414434e-08,-5.06889489e-05,-6.08267387e-05,6.08267387e-05
9.84572059e-08,9.84572059e-08,-7.21118368e-05,-8.65342042e-05,8.65342042e-05
9.84713921e-08,9.84713921e-08,-9.71408578e-05,-1.16569029e-04,1.16569029e-04
9.84837641e-08,9.84837641e-08,-1.23761828e-04,-1.48514193e-04,1.48514193e-04
9.84853656e-08,9.84853656e-08,-1.27562052e-04,-1.53074462e-04,1.53074462e-04
9.84869671e-08,9.84869671e-08,-1.31431248e-04,-1.57717498e-04,1.57717498e-04
9.84901700e-08,9.84901700e-08,-1.39411678e-04,-1.67294014e-04,1.67294014e-04
9.84933730e-08,9.84933730e-08,-1.47708804e-04,-1.77250564e-04,1.77250564e-04
9.84965760e-08,9.84965760e-08,-1.47958130e-04,-1.77549756e-04,1.77549756e-04
9.85029819e-08,9.85029819e-08,-1.11016363e-04,-1.33219636e-04,1.33219636e-04
9.85080846e-08,9.85080846e-08,-7.02721314e-05,-8.43265576e-05,8.43265576e-05
9.85126769e-08,9.85126769e-08,-4.26272949e-05,-5.11527539e-05,5.11527539e-05
9.85172693e-08,9.85172693e-08,-2.56369422e-05,-3.07643306e-05,3.07643306e-05
9.85218616e-08,9.85218616e-08,-1.62440723e-05,-1.94928867e-05,1.94928867e-05
9.85310464e-08,9.85310464e-08,-7.97504663e-06,-9.57005596e-06,9.57005596e-06
9.85402311e-08,9.85402311e-08,-5.66640319e-06,-6.79968382e-06,6.79968382e-06
9.85586005e-08,9.85586005e-08,-3.52867007e-06,-4.23440408e-06,4.23440408e-06
9.85751330e-08,9.85751330e-08,-2.58142155e-06,-3.09770586e-06,3.09770586e-06
9.85916655e-08,9.85916655e-08,-1.94547665e-06,-2.33457198e-06,2.33457198e-06
9.86081980e-08,9.86081980e-08,-1.52960758e-06,-1.83552910e-06,1.83552910e-06
9.86412631e-08,9.86412631e-08,-9.95276994e-07,-1.19433239e-06,1.19433239e-06
9.86743281e-08,9.86743281e-08,-6.94216541e-07,-8.33059850e-07,8.33059850e-07
